name,description,dna,edition,date,Background,Skin,Eyes,Clothes,Mouth
Skunk Club #1,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",a49de7d42adeea49eb586d75eba06a8abe15a20e,1,1643039298001,Gray ,Cheetah ,Crying ,Yellow Tee ,Grin 
Skunk Club #2,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",0f126df29b29934879787cd71d761a90dbf26119,2,1643039299313,Purple ,Red ,Closed ,Dress ,Smile 
Skunk Club #3,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",c718d1cb93690096090b4d313ab40dfa0cf1322b,3,1643039300554,Pink ,Brown ,Sleepy ,Toga ,Angry 
Skunk Club #4,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",587217fea43c0b5bf119dfaeb05dcc29b59906e0,4,1643039301917,Turquoise ,Brown ,Sleepy ,Turtleneck ,Angry 
Skunk Club #5,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",134d4fb89b10929261cf76deddf91162a1cb2e39,5,1643039303327,Orange ,Cream ,Sleepy ,Turtleneck ,Angry 
Skunk Club #6,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",f7f90e54dbb476be35b5c9020f180adb3db7af7b,6,1643039304619,Orange ,Cheetah ,Wink ,,Smile 
Skunk Club #7,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",075f14c6499c52cebec41df67bf07a8396b9295d,7,1643039305875,Blue ,Red ,Angry ,Leather Jacket ,Sad 
Skunk Club #8,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",68ee18e6a40ba4eb87df6a439a4cca185a15c629,8,1643039307163,Yellow ,Gray ,Crying ,Lab Coat ,Sad 
Skunk Club #9,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",d457ed748f9080eb2e46994589501e0c380cd062,9,1643039308385,Turquoise ,Brown ,Normal ,Suit ,Sad 
Skunk Club #10,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",5e6f643ae81b44279cafc4a1d989e455a28c2cde,10,1643039309665,Blue ,Light Gray ,Sleepy ,Dress ,Cigarette 
Skunk Club #11,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",1efeb3ec021a4c908f7bd83ff64d4325804fc53e,11,1643039310974,Orange ,Brown ,Glasses ,Hawaiian Shirt ,Sad 
Skunk Club #12,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",06f4fb2cdb95aa43ba0e5e103a46d69affaf15e5,12,1643039312323,Gray ,Cheetah ,Bored ,Puffer Jacket ,Angry 
Skunk Club #13,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",d31418b7b2063484ebcc5f2a001193fb35862b33,13,1643039313649,Brown ,Gray ,3D Glasses ,Hoodie ,Angry 
Skunk Club #14,"Skunk Club is a collection of 5,000 hand-drawn NFTs—unique digital collectibles living on the Polygon blockchain as ERC-721 tokens and hosted on IPFS.",d62c2e4003c495eeebcb2de5af117470174a4899,14,1643039314891,Pink ,Gray ,Angry ,Basketball Jersey ,Sad 
